Panel,Serial Number,Point,Date,Time,Measurement Temp,CAD Model,Coordinate System,X Ist,Y Ist,Z Ist
12,01-011121,V1,2024-01-16 00:00:00,14:30:00,7.4,20240111_Pnl_42_32_22_12_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-4941.58,1794.65,-3075.58
12,01-011121,V2,2024-01-16 00:00:00,14:30:00,7.4,20240111_Pnl_42_32_22_12_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-4937.75,2228.31,-3062.79
12,01-011121,V3,2024-01-16 00:00:00,14:30:00,7.4,20240111_Pnl_42_32_22_12_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-4442.49,1786.64,-3093.91
12,01-011121,V4,2024-01-16 00:00:00,14:30:00,7.4,20240111_Pnl_42_32_22_12_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-4436.07,2236.13,-3080.42
12,01-011121,V5,2024-01-16 00:00:00,14:30:00,7.4,20240111_Pnl_42_32_22_12_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-4687.26,2015.73,-3078.74
13,01-011131,V1,2024-01-16 00:00:00,13:40:00,7.0,20240111_Pnl_43_33_23_13_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-4936.08,1120.99,-3090.62
13,01-011131,V2,2024-01-16 00:00:00,13:40:00,7.0,20240111_Pnl_43_33_23_13_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-4941.08,1560.17,-3081.5
13,01-011131,V3,2024-01-16 00:00:00,13:40:00,7.0,20240111_Pnl_43_33_23_13_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-4426.47,1122.01,-3109.34
13,01-011131,V4,2024-01-16 00:00:00,13:40:00,7.0,20240111_Pnl_43_33_23_13_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-4441.92,1553.45,-3099.9
13,01-011131,V5,2024-01-16 00:00:00,13:40:00,7.0,20240111_Pnl_43_33_23_13_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-4685.44,1338.78,-3096.07
14,01-011141,V1,2024-01-12 00:00:00,10:45:00,6.4,20240110_Pnl_44_46_34_36_24_26_14_16_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-4934.35,451.87,-3098.73
14,01-011141,V2,2024-01-12 00:00:00,10:45:00,6.4,20240110_Pnl_44_46_34_36_24_26_14_16_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-4937.22,889.57,-3094.08
14,01-011141,V3,2024-01-12 00:00:00,10:45:00,6.4,20240110_Pnl_44_46_34_36_24_26_14_16_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-4437.23,449.88,-3117.2
14,01-011141,V4,2024-01-12 00:00:00,10:45:00,6.4,20240110_Pnl_44_46_34_36_24_26_14_16_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-4436.87,889.97,-3112.61
14,01-011141,V5,2024-01-12 00:00:00,10:45:00,6.4,20240110_Pnl_44_46_34_36_24_26_14_16_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-4688.25,669.86,-3106.27
21,01-011211,V1,2024-01-17 00:00:00,10:56:00,5.6,20240116_Pnl_41_31_21_Group7_5Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-4183.89,2460.68,-3080.45
21,01-011211,V2,2024-01-17 00:00:00,10:56:00,5.6,20240116_Pnl_41_31_21_Group7_5Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-4175.4,2904.86,-3062.94
21,01-011211,V3,2024-01-17 00:00:00,10:56:00,5.6,20240116_Pnl_41_31_21_Group7_5Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-3683.87,2467.86,-3093.8
21,01-011211,V4,2024-01-17 00:00:00,10:56:00,5.6,20240116_Pnl_41_31_21_Group7_5Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-3689.41,2902.62,-3076
21,01-011211,V5,2024-01-17 00:00:00,10:56:00,5.6,20240116_Pnl_41_31_21_Group7_5Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-3928.42,2679.44,-3079.25
23,01-011231,V1,2024-01-15 00:00:00,11:15:00,7.0,20240111_Pnl_43_33_23_13_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-4180.55,1122.31,-3117.34
23,01-011231,V2,2024-01-15 00:00:00,11:15:00,7.0,20240111_Pnl_43_33_23_13_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-4175.91,1555.71,-3108.45
23,01-011231,V3,2024-01-15 00:00:00,11:15:00,7.0,20240111_Pnl_43_33_23_13_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-3685.6,1124.97,-3131.23
23,01-011231,V4,2024-01-15 00:00:00,11:15:00,7.0,20240111_Pnl_43_33_23_13_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-3683.57,1552.07,-3122.28
23,01-011231,V5,2024-01-15 00:00:00,11:15:00,7.0,20240111_Pnl_43_33_23_13_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-3931.1,1341.29,-3120.49
25,01-011251,V1,2024-01-05 00:00:00,10:43:00,10.8,20240105_Group_03_10Grad_big_Plus_V-X_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-4180.39,-219.82,-3126.86
25,01-011251,V2,2024-01-05 00:00:00,10:43:00,10.8,20240105_Group_03_10Grad_big_Plus_V-X_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-4188.83,214.07,-3126.62
25,01-011251,V3,2024-01-05 00:00:00,10:43:00,10.8,20240105_Group_03_10Grad_big_Plus_V-X_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-3676.91,-210.85,-3141.15
25,01-011251,V4,2024-01-05 00:00:00,10:43:00,10.8,20240105_Group_03_10Grad_big_Plus_V-X_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-3683.25,224.07,-3140.95
25,01-011251,V5,2024-01-05 00:00:00,10:43:00,10.8,20240105_Group_03_10Grad_big_Plus_V-X_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-3929.22,2.11,-3134.71
31,01-011311,V1,2024-01-17 00:00:00,10:23:00,5.4,20240116_Pnl_41_31_21_Group7_5Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-3431.04,2460.44,-3099.86
31,01-011311,V2,2024-01-17 00:00:00,10:23:00,5.4,20240116_Pnl_41_31_21_Group7_5Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-3440.1,2907.72,-3081.41
31,01-011311,V3,2024-01-17 00:00:00,10:23:00,5.4,20240116_Pnl_41_31_21_Group7_5Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2933.08,2472,-3108.57
31,01-011311,V4,2024-01-17 00:00:00,10:23:00,5.4,20240116_Pnl_41_31_21_Group7_5Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2935.9,2905.67,-3090.68
31,01-011311,V5,2024-01-17 00:00:00,10:23:00,5.4,20240116_Pnl_41_31_21_Group7_5Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-3180.52,2677.89,-3096.23
32,01-011321,V1,2024-01-16 00:00:00,09:46:00,6.0,20240115_Pnl_42_32_22_12_05_Group6_5Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-3431.13,1801.5,-3121.62
32,01-011321,V2,2024-01-16 00:00:00,09:46:00,6.0,20240115_Pnl_42_32_22_12_05_Group6_5Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-3431.13,2232.85,-3108.08
32,01-011321,V3,2024-01-16 00:00:00,09:46:00,6.0,20240115_Pnl_42_32_22_12_05_Group6_5Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2930.77,1793.16,-3131.19
32,01-011321,V4,2024-01-16 00:00:00,09:46:00,6.0,20240115_Pnl_42_32_22_12_05_Group6_5Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2932.69,2230.2,-3117.4
32,01-011321,V5,2024-01-16 00:00:00,09:46:00,6.0,20240115_Pnl_42_32_22_12_05_Group6_5Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-3184.77,2010.48,-3120.33
33,01-011331,V1,2024-01-15 00:00:00,10:20:00,6.6,20240111_Pnl_43_33_23_13_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-3427.95,1126.19,-3137.28
33,01-011331,V2,2024-01-15 00:00:00,10:20:00,6.6,20240111_Pnl_43_33_23_13_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-3433.99,1560.13,-3127.93
33,01-011331,V3,2024-01-15 00:00:00,10:20:00,6.6,20240111_Pnl_43_33_23_13_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2919.3,1122.19,-3146.86
33,01-011331,V4,2024-01-15 00:00:00,10:20:00,6.6,20240111_Pnl_43_33_23_13_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2942.5,1563.65,-3137.09
33,01-011331,V5,2024-01-15 00:00:00,10:20:00,6.6,20240111_Pnl_43_33_23_13_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-3180.29,1340.92,-3138.11
35,01-011351,V1,2024-01-05 00:00:00,09:28:00,10.8,20231222_Group_01_10Deg_small_Plus_Tool-V03_Korrigiert,Nominal-Frame_Rot-Y_-26.565051,-3433.79,-210.01,-3146.91
35,01-011351,V2,2024-01-05 00:00:00,09:28:00,10.8,20231222_Group_01_10Deg_small_Plus_Tool-V03_Korrigiert,Nominal-Frame_Rot-Y_-26.565051,-3430.26,224.27,-3146.94
35,01-011351,V3,2024-01-05 00:00:00,09:28:00,10.8,20231222_Group_01_10Deg_small_Plus_Tool-V03_Korrigiert,Nominal-Frame_Rot-Y_-26.565051,-2934.9,-216.32,-3156.34
35,01-011351,V4,2024-01-05 00:00:00,09:28:00,10.8,20231222_Group_01_10Deg_small_Plus_Tool-V03_Korrigiert,Nominal-Frame_Rot-Y_-26.565051,-2940.43,223.19,-3156.24
35,01-011351,V5,2024-01-05 00:00:00,09:28:00,10.8,20231222_Group_01_10Deg_small_Plus_Tool-V03_Korrigiert,Nominal-Frame_Rot-Y_-26.565051,-3189.96,-4.22,-3152.26
36,01-011361,V1,2024-01-08 00:00:00,15:;25,4.4,20240108_Pnl_46_36_26_16_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-3431.12,-890.93,-3140.93
36,01-011361,V2,2024-01-08 00:00:00,15:;25,4.4,20240108_Pnl_46_36_26_16_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-3440.55,-448.97,-3145.49
36,01-011361,V3,2024-01-08 00:00:00,15:;25,4.4,20240108_Pnl_46_36_26_16_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2934.86,-895.94,-3150.28
36,01-011361,V4,2024-01-08 00:00:00,15:;25,4.4,20240108_Pnl_46_36_26_16_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2930.26,-457.82,-3155.11
36,01-011361,V5,2024-01-08 00:00:00,15:;25,4.4,20240108_Pnl_46_36_26_16_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-3182.84,-668.03,-3148.81
37,01-011371,V1,2024-01-17 00:00:00,14:18:00,5.8,20240109_Pnl_47_37_27_17_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-3439.16,-1560.93,-3127.8
37,01-011371,V2,2024-01-17 00:00:00,14:18:00,5.8,20240109_Pnl_47_37_27_17_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-3421.96,-1122.99,-3137.46
37,01-011371,V3,2024-01-17 00:00:00,14:18:00,5.8,20240109_Pnl_47_37_27_17_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2936.53,-1564.38,-3137.16
37,01-011371,V4,2024-01-17 00:00:00,14:18:00,5.8,20240109_Pnl_47_37_27_17_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2930.93,-1122.5,-3146.69
37,01-011371,V5,2024-01-17 00:00:00,14:18:00,5.8,20240109_Pnl_47_37_27_17_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-3187.73,-1342.62,-3137.94
41,01-011411,V1,2024-01-17 00:00:00,09:43:00,4.8,20240116_Pnl_41_31_21_Group7_5Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2679.45,2466.87,-3112.29
41,01-011411,V2,2024-01-17 00:00:00,09:43:00,4.8,20240116_Pnl_41_31_21_Group7_5Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2679.12,2904,-3094.25
41,01-011411,V3,2024-01-17 00:00:00,09:43:00,4.8,20240116_Pnl_41_31_21_Group7_5Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2179.58,2464.33,-3116.96
41,01-011411,V4,2024-01-17 00:00:00,09:43:00,4.8,20240116_Pnl_41_31_21_Group7_5Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2179,2905.08,-3098.76
41,01-011411,V5,2024-01-17 00:00:00,09:43:00,4.8,20240116_Pnl_41_31_21_Group7_5Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2436.49,2686.52,-3106.16
42,01-011421,V1,2024-01-15 00:00:00,14:50:00,5.0,20240111_Pnl_43_33_23_13_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2679.69,1791.83,-3134.73
42,01-011421,V2,2024-01-15 00:00:00,14:50:00,5.0,20240111_Pnl_43_33_23_13_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2683.4,2231.08,-3120.83
42,01-011421,V3,2024-01-15 00:00:00,14:50:00,5.0,20240111_Pnl_43_33_23_13_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2176.33,1789.7,-3139.42
42,01-011421,V4,2024-01-15 00:00:00,14:50:00,5.0,20240111_Pnl_43_33_23_13_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2178.76,2236.31,-3125.3
42,01-011421,V5,2024-01-15 00:00:00,14:50:00,5.0,20240111_Pnl_43_33_23_13_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2426.52,2011.14,-3130.87
43,01-011431,V1,2024-01-12 00:00:00,14:20:00,6.4,20240111_Pnl_43_33_23_13_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2676.74,1117.82,-3150.34
43,01-011431,V2,2024-01-12 00:00:00,14:20:00,6.4,20240111_Pnl_43_33_23_13_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2177.24,1120.76,-3154.87
43,01-011431,V3,2024-01-12 00:00:00,14:20:00,6.4,20240111_Pnl_43_33_23_13_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2674.49,1559.92,-3140.95
43,01-011431,V4,2024-01-12 00:00:00,14:20:00,6.4,20240111_Pnl_43_33_23_13_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2181.19,1565.62,-3145.34
43,01-011431,V5,2024-01-12 00:00:00,14:20:00,6.4,20240111_Pnl_43_33_23_13_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2430.01,1338.74,-3148.67
45,01-011451,V1,2024-01-02 00:00:00,10:25:00,11.4,20231222_Group_01_10Deg_small_Plus_Tool-V03.STEP,Nominal-Frame_Rot-Y_-26.565051,-2681.04,-220.45,-3159.91
45,01-011451,V2,2024-01-02 00:00:00,10:25:00,11.4,20231222_Group_01_10Deg_small_Plus_Tool-V03.STEP,Nominal-Frame_Rot-Y_-26.565051,-2683.09,222.21,-3159.89
45,01-011451,V3,2024-01-02 00:00:00,10:25:00,11.4,20231222_Group_01_10Deg_small_Plus_Tool-V03.STEP,Nominal-Frame_Rot-Y_-26.565051,-2182.75,-217.98,-3164.51
45,01-011451,V4,2024-01-02 00:00:00,10:25:00,11.4,20231222_Group_01_10Deg_small_Plus_Tool-V03.STEP,Nominal-Frame_Rot-Y_-26.565051,-2185.45,220.11,-3164.5
45,01-011451,V5,2024-01-02 00:00:00,10:25:00,11.4,20231222_Group_01_10Deg_small_Plus_Tool-V03.STEP,Nominal-Frame_Rot-Y_-26.565051,-2440.86,4.95,-3162.93
47,01-011471,V1,2024-01-09 00:00:00,11:50:00,5.6,20240109_Pnl_47_37_27_17_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2678.76,-1562.92,-3140.82
47,01-011471,V2,2024-01-09 00:00:00,11:50:00,5.6,20240109_Pnl_47_37_27_17_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2677.98,-1121.68,-3150.24
47,01-011471,V3,2024-01-09 00:00:00,11:50:00,5.6,20240109_Pnl_47_37_27_17_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2189.24,-1557.06,-3145.5
47,01-011471,V4,2024-01-09 00:00:00,11:50:00,5.6,20240109_Pnl_47_37_27_17_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2183.69,-1125.38,-3154.71
47,01-011471,V5,2024-01-09 00:00:00,11:50:00,5.6,20240109_Pnl_47_37_27_17_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2434.88,-1344,-3148.51
48,01-011481,V1,2024-01-10 00:00:00,11:10:00,5.0,20240110_Pnl_48_38_28_18_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2681.84,-2232.18,-3120.82
48,01-011481,V2,2024-01-10 00:00:00,11:10:00,5.0,20240110_Pnl_48_38_28_18_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2678.12,-1800.05,-3134.52
48,01-011481,V3,2024-01-10 00:00:00,11:10:00,5.0,20240110_Pnl_48_38_28_18_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2179,-2236.64,-3125.28
48,01-011481,V4,2024-01-10 00:00:00,11:10:00,5.0,20240110_Pnl_48_38_28_18_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2179.76,-1796.01,-3139.21
48,01-011481,V5,2024-01-10 00:00:00,11:10:00,5.0,20240110_Pnl_48_38_28_18_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2430.35,-2014.29,-3130.74
51,01-011511,V1,2024-01-05 00:00:00,14:51:00,11.0,20240105_Group_03_10Grad_big_Plus_V-X_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-1933.3,2464.86,-3118.05
51,01-011511,V2,2024-01-05 00:00:00,14:51:00,11.0,20240105_Group_03_10Grad_big_Plus_V-X_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-1932.23,2898.24,-3100.18
51,01-011511,V3,2024-01-05 00:00:00,14:51:00,11.0,20240105_Group_03_10Grad_big_Plus_V-X_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-1431.85,2456,-3118.34
51,01-011511,V4,2024-01-05 00:00:00,14:51:00,11.0,20240105_Group_03_10Grad_big_Plus_V-X_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-1432.91,2895.15,-3100.31
51,01-011511,V5,2024-01-05 00:00:00,14:51:00,11.0,20240105_Group_03_10Grad_big_Plus_V-X_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-1687.95,2668.42,-3110.33
53,01-011531,V1,2024-01-05 00:00:00,13:49:00,11.0,20240105_Group_03_10Grad_big_Plus_V-X_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-1936.14,1124.48,-3155.89
